artist,style,genre,title,text
vincent-van-gogh,Realism,landscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: landscape. Artist: vincent-van-gogh.
rembrandt,Baroque,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Baroque. Genre: religious_painting. Artist: rembrandt.
paul-cezanne,Post_Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: portrait. Artist: paul-cezanne.
pierre-auguste-renoir,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: pierre-auguste-renoir.
boris-kustodiev,Art_Nouveau,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: genre_painting. Artist: boris-kustodiev.
ivan-aivazovsky,Romanticism,landscape,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: landscape. Artist: ivan-aivazovsky.
albrecht-durer,Northern_Renaissance,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Northern_Renaissance. Genre: religious_painting. Artist: albrecht-durer.
john-singer-sargent,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: john-singer-sargent.
nicholas-roerich,Symbolism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: genre_painting. Artist: nicholas-roerich.
nicholas-roerich,Symbolism,landscape,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: landscape. Artist: nicholas-roerich.
boris-kustodiev,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: boris-kustodiev.
pierre-auguste-renoir,Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: portrait. Artist: pierre-auguste-renoir.
marc-chagall,Naive_Art_Primitivism,still_life,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: still_life. Artist: marc-chagall.
vincent-van-gogh,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: vincent-van-gogh.
gustave-dore,Romanticism,illustration,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: illustration. Artist: gustave-dore.
rembrandt,Baroque,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Baroque. Genre: sketch_and_study. Artist: rembrandt.
pyotr-konchalovsky,Realism,landscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: landscape. Artist: pyotr-konchalovsky.
pierre-auguste-renoir,Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: cityscape. Artist: pierre-auguste-renoir.
martiros-saryan,Expressionism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: sketch_and_study. Artist: martiros-saryan.
rembrandt,Baroque,portrait,Untitled,Artwork titled 'Untitled'. Style: Baroque. Genre: portrait. Artist: rembrandt.
claude-monet,Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: cityscape. Artist: claude-monet.
ivan-shishkin,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: ivan-shishkin.
vincent-van-gogh,Realism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: nude_painting. Artist: vincent-van-gogh.
vincent-van-gogh,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: vincent-van-gogh.
paul-cezanne,Post_Impressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: still_life. Artist: paul-cezanne.
pablo-picasso,Expressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: portrait. Artist: pablo-picasso.
marc-chagall,Naive_Art_Primitivism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: religious_painting. Artist: marc-chagall.
raphael-kirchner,Art_Nouveau,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: nude_painting. Artist: raphael-kirchner.
pierre-auguste-renoir,Impressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: still_life. Artist: pierre-auguste-renoir.
ilya-repin,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: ilya-repin.
nicholas-roerich,Symbolism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: sketch_and_study. Artist: nicholas-roerich.
eugene-boudin,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: eugene-boudin.
salvador-dali,Expressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: genre_painting. Artist: salvador-dali.
albrecht-durer,Northern_Renaissance,portrait,Untitled,Artwork titled 'Untitled'. Style: Northern_Renaissance. Genre: portrait. Artist: albrecht-durer.
paul-cezanne,Post_Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: landscape. Artist: paul-cezanne.
pablo-picasso,Post_Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: genre_painting. Artist: pablo-picasso.
